iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
BRA,South America,Brazil,15/07/20,1966748,39924,75366,1233,212559409
BRA,South America,Brazil,16/07/20,2012151,45403,76688,1322,212559409
BRA,South America,Brazil,17/07/20,2046328,34177,77851,1163,212559409
BRA,South America,Brazil,18/07/20,2074860,28532,78772,921,212559409
BRA,South America,Brazil,19/07/20,2098389,23529,79488,716,212559409
BRA,South America,Brazil,20/07/20,2118646,20257,80120,632,212559409
BRA,South America,Brazil,21/07/20,2159654,41008,81487,1367,212559409
BRA,South America,Brazil,22/07/20,2227514,67860,82771,1284,212559409
BRA,South America,Brazil,23/07/20,2287475,59961,84082,1311,212559409
BRA,South America,Brazil,24/07/20,2343366,55891,85238,1156,212559409
BRA,South America,Brazil,25/07/20,2394513,51147,86449,1211,212559409
BRA,South America,Brazil,26/07/20,2419091,24578,87004,555,212559409
BRA,South America,Brazil,27/07/20,2442375,23284,87618,614,212559409
BRA,South America,Brazil,28/07/20,2483191,40816,88539,921,212559409
BRA,South America,Brazil,29/07/20,2552265,69074,90134,1595,212559409
BRA,South America,Brazil,30/07/20,2610102,57837,91263,1129,212559409
BRA,South America,Brazil,31/07/20,2662485,52383,92475,1212,212559409
BRA,South America,Brazil,01/08/20,2707877,45392,93563,1088,212559409
BRA,South America,Brazil,02/08/20,2733677,25800,94104,541,212559409
BRA,South America,Brazil,03/08/20,2750318,16641,94665,561,212559409
BRA,South America,Brazil,04/08/20,2801921,51603,95819,1154,212559409
BRA,South America,Brazil,05/08/20,2859073,57152,97256,1437,212559409
BRA,South America,Brazil,06/08/20,2912212,53139,98493,1237,212559409
BRA,South America,Brazil,07/08/20,2962442,50230,99572,1079,212559409
BRA,South America,Brazil,08/08/20,3012412,49970,100477,905,212559409
BRA,South America,Brazil,09/08/20,3035422,23010,101049,572,212559409
BRA,South America,Brazil,10/08/20,3057470,22048,101752,703,212559409
BRA,South America,Brazil,11/08/20,3109630,52160,103026,1274,212559409
BRA,South America,Brazil,12/08/20,3164785,55155,104201,1175,212559409
BRA,South America,Brazil,13/08/20,3224876,60091,105463,1262,212559409
BRA,South America,Brazil,14/08/20,3275520,50644,106523,1060,212559409
BRA,South America,Brazil,15/08/20,3317096,41576,107232,709,212559409
BRA,South America,Brazil,16/08/20,3340197,23101,107852,620,212559409
BRA,South America,Brazil,17/08/20,3359570,19373,108536,684,212559409
BRA,South America,Brazil,18/08/20,3407354,47784,109888,1352,212559409
BRA,South America,Brazil,19/08/20,3456652,49298,111100,1212,212559409
BRA,South America,Brazil,20/08/20,3501975,45323,112304,1204,212559409
BRA,South America,Brazil,21/08/20,3532330,30355,113358,1054,212559409
BRA,South America,Brazil,22/08/20,3582362,50032,114250,892,212559409
BRA,South America,Brazil,23/08/20,3605783,23421,114744,494,212559409
BRA,South America,Brazil,24/08/20,3622861,17078,115309,565,212559409
BRA,South America,Brazil,25/08/20,3669995,47134,116580,1271,212559409
BRA,South America,Brazil,26/08/20,3717156,47161,117665,1085,212559409
BRA,South America,Brazil,27/08/20,3761391,44235,118649,984,212559409
BRA,South America,Brazil,28/08/20,3804803,43412,119504,855,212559409
BRA,South America,Brazil,29/08/20,3846153,41350,120262,758,212559409
BRA,South America,Brazil,30/08/20,3862311,16158,120828,566,212559409
BRA,South America,Brazil,31/08/20,3908272,45961,121381,553,212559409
BRA,South America,Brazil,01/09/20,3950931,42659,122596,1215,212559409
BRA,South America,Brazil,02/09/20,3997865,46934,123780,1184,212559409
BRA,South America,Brazil,03/09/20,4041638,43773,124614,834,212559409
BRA,South America,Brazil,04/09/20,4091801,50163,125502,888,212559409
BRA,South America,Brazil,05/09/20,4123000,31199,126203,701,212559409
BRA,South America,Brazil,06/09/20,4137521,14521,126650,447,212559409
BRA,South America,Brazil,07/09/20,4147794,10273,126960,310,212559409
BRA,South America,Brazil,08/09/20,4162073,14279,127464,504,212559409
BRA,South America,Brazil,09/09/20,4197889,35816,128539,1075,212559409
BRA,South America,Brazil,10/09/20,4238446,40557,129522,983,212559409
BRA,South America,Brazil,11/09/20,4282164,43718,130396,874,212559409
BRA,South America,Brazil,12/09/20,4315687,33523,131210,814,212559409
BRA,South America,Brazil,13/09/20,4330455,14768,131625,415,212559409
BRA,South America,Brazil,14/09/20,4345610,15155,132006,381,212559409
BRA,South America,Brazil,15/09/20,4382263,36653,133119,1113,212559409
BRA,South America,Brazil,16/09/20,4419083,36820,134106,987,212559409
BRA,South America,Brazil,17/09/20,4455386,36303,134935,829,212559409
BRA,South America,Brazil,18/09/20,4495183,39797,135793,858,212559409
BRA,South America,Brazil,19/09/20,4528240,33057,136532,739,212559409
BRA,South America,Brazil,20/09/20,4544629,16389,136895,363,212559409
BRA,South America,Brazil,21/09/20,4558040,13411,137272,377,212559409
BRA,South America,Brazil,22/09/20,4591364,33324,138105,833,212559409
BRA,South America,Brazil,23/09/20,4591364,0,138105,0,212559409
BRA,South America,Brazil,24/09/20,4657702,66338,139808,1703,212559409
BRA,South America,Brazil,25/09/20,4689613,31911,140537,729,212559409
BRA,South America,Brazil,26/09/20,4717991,28378,141406,869,212559409
BRA,South America,Brazil,27/09/20,4732309,14318,141741,335,212559409
BRA,South America,Brazil,28/09/20,4745464,13155,142058,317,212559409
BRA,South America,Brazil,29/09/20,4777522,32058,142921,863,212559409
BRA,South America,Brazil,30/09/20,4810935,33413,143952,1031,212559409
BRA,South America,Brazil,01/10/20,4847092,36157,144680,728,212559409
BRA,South America,Brazil,02/10/20,4847092,0,144680,0,212559409
BRA,South America,Brazil,03/10/20,4906833,59741,145987,1307,212559409
BRA,South America,Brazil,04/10/20,4915289,8456,146352,365,212559409
BRA,South America,Brazil,05/10/20,4927235,11946,146675,323,212559409
BRA,South America,Brazil,06/10/20,4969141,41906,147494,819,212559409
BRA,South America,Brazil,07/10/20,5000694,31553,148228,734,212559409
BRA,South America,Brazil,08/10/20,5028444,27750,148957,729,212559409
BRA,South America,Brazil,09/10/20,5055888,27444,149639,682,212559409
BRA,South America,Brazil,10/10/20,5082637,26749,150198,559,212559409
BRA,South America,Brazil,11/10/20,5094979,12342,150488,290,212559409
BRA,South America,Brazil,12/10/20,5103408,8429,150689,201,212559409
BRA,South America,Brazil,13/10/20,5113628,10220,150998,309,212559409
BRA,South America,Brazil,14/10/20,5140863,27235,151747,749,212559409
BRA,South America,Brazil,15/10/20,5169386,28523,152460,713,212559409
BRA,South America,Brazil,16/10/20,5200300,30914,153214,754,212559409
BRA,South America,Brazil,17/10/20,5224362,24062,153675,461,212559409
BRA,South America,Brazil,18/10/20,5224362,0,153675,0,212559409
BRA,South America,Brazil,19/10/20,5250727,26365,154176,501,212559409
BRA,South America,Brazil,20/10/20,5273954,23227,154837,661,212559409
BRA,South America,Brazil,21/10/20,5298772,24818,155403,566,212559409
BRA,South America,Brazil,22/10/20,5323630,24858,155900,497,212559409
BRA,South America,Brazil,23/10/20,5353656,30026,156471,571,212559409
BRA,South America,Brazil,24/10/20,5380635,26979,156903,432,212559409
BRA,South America,Brazil,25/10/20,5394128,13493,157134,231,212559409
BRA,South America,Brazil,26/10/20,5409854,15726,157397,263,212559409
BRA,South America,Brazil,27/10/20,5439641,29787,157946,549,212559409
BRA,South America,Brazil,28/10/20,5468270,28629,158456,510,212559409
BRA,South America,Brazil,29/10/20,5494376,26106,158969,513,212559409
BRA,South America,Brazil,30/10/20,5516658,22282,159477,508,212559409
BRA,South America,Brazil,31/10/20,5535605,18947,159884,407,212559409
BRA,South America,Brazil,01/11/20,5545705,10100,160074,190,212559409
BRA,South America,Brazil,02/11/20,5554206,8501,160253,179,212559409
BRA,South America,Brazil,03/11/20,5566049,11843,160496,243,212559409
BRA,South America,Brazil,04/11/20,5590025,23976,161106,610,212559409
BRA,South America,Brazil,05/11/20,5590025,0,161106,0,212559409
BRA,South America,Brazil,06/11/20,5631181,41156,162015,909,212559409
BRA,South America,Brazil,07/11/20,5653561,22380,162269,254,212559409
BRA,South America,Brazil,08/11/20,5664115,10554,162397,128,212559409
BRA,South America,Brazil,09/11/20,5675032,10917,162628,231,212559409
BRA,South America,Brazil,10/11/20,5699005,23973,162802,174,212559409
BRA,South America,Brazil,11/11/20,5747660,48655,163368,566,212559409
BRA,South America,Brazil,12/11/20,5781582,33922,164281,913,212559409
BRA,South America,Brazil,13/11/20,5810652,29070,164737,456,212559409
BRA,South America,Brazil,14/11/20,5848959,38307,165658,921,212559409
BRA,South America,Brazil,15/11/20,5863093,14134,165798,140,212559409
BRA,South America,Brazil,16/11/20,5876464,13371,166014,216,212559409
BRA,South America,Brazil,17/11/20,5911758,35294,166699,685,212559409
BRA,South America,Brazil,18/11/20,5945849,34091,167455,756,212559409
BRA,South America,Brazil,19/11/20,5981767,35918,168061,606,212559409
BRA,South America,Brazil,20/11/20,6020164,38397,168613,552,212559409
BRA,South America,Brazil,21/11/20,6052786,32622,168989,376,212559409
BRA,South America,Brazil,22/11/20,6071401,18615,169183,194,212559409
BRA,South America,Brazil,23/11/20,6087608,16207,169485,302,212559409
BRA,South America,Brazil,24/11/20,6118708,31100,170115,630,212559409
BRA,South America,Brazil,25/11/20,6166606,47898,170769,654,212559409
BRA,South America,Brazil,26/11/20,6204220,37614,171460,691,212559409
BRA,South America,Brazil,27/11/20,6238350,34130,171974,514,212559409
BRA,South America,Brazil,28/11/20,6290272,51922,172561,587,212559409
BRA,South America,Brazil,29/11/20,6314740,24468,172833,272,212559409
BRA,South America,Brazil,30/11/20,6335878,21138,173120,287,212559409
BRA,South America,Brazil,01/12/20,6386787,50909,173817,697,212559409
BRA,South America,Brazil,02/12/20,6436650,49863,174515,698,212559409
BRA,South America,Brazil,03/12/20,6487084,50434,175270,755,212559409
BRA,South America,Brazil,04/12/20,6533968,46884,175964,694,212559409
BRA,South America,Brazil,05/12/20,6577177,43209,176628,664,212559409
BRA,South America,Brazil,06/12/20,6603540,26363,176941,313,212559409
BRA,South America,Brazil,07/12/20,6623911,20371,177317,376,212559409
BRA,South America,Brazil,08/12/20,6674999,51088,178159,842,212559409
BRA,South America,Brazil,09/12/20,6728452,53453,178995,836,212559409
BRA,South America,Brazil,10/12/20,6781799,53347,179765,770,212559409
BRA,South America,Brazil,11/12/20,6836227,54428,180437,672,212559409
BRA,South America,Brazil,12/12/20,6880127,43900,181123,686,212559409
BRA,South America,Brazil,13/12/20,6901952,21825,181402,279,212559409
BRA,South America,Brazil,14/12/20,6927145,25193,181835,433,212559409
BRA,South America,Brazil,15/12/20,6970034,42889,182799,964,212559409
BRA,South America,Brazil,16/12/20,7040608,70574,183735,936,212559409
BRA,South America,Brazil,17/12/20,7110434,69826,184827,1092,212559409
BRA,South America,Brazil,18/12/20,7162978,52544,185650,823,212559409
BRA,South America,Brazil,19/12/20,7213155,50177,186356,706,212559409
BRA,South America,Brazil,20/12/20,7238600,25445,186764,408,212559409
BRA,South America,Brazil,21/12/20,7263619,25019,187291,527,212559409
BRA,South America,Brazil,22/12/20,7318821,55202,188259,968,212559409
BRA,South America,Brazil,23/12/20,7365517,46696,189220,961,212559409
BRA,South America,Brazil,24/12/20,7423945,58428,189982,762,212559409
BRA,South America,Brazil,25/12/20,7448560,24615,190488,506,212559409
BRA,South America,Brazil,26/12/20,7465806,17246,190795,307,212559409
